cve,published,title,description,vendor,product,score,severity,rating
CVE-2025-32798,2025-06-16 20:10:06.902000+00:00,Conda-build Allows Arbitrary Code Execution via Malicious Recipe Selectors,"Conda-build contains commands and tools to build conda packages. Prior to version 25.4.0, the conda-build recipe processing logic has been found to be vulnerable to arbitrary code execution due to unsafe evaluation of recipe selectors. Currently, conda-build uses the eval function to process embedded selectors in meta.yaml files. This approach evaluates user-defined expressions without proper sanitization, which allows arbitrary code to be executed during the build process. As a result, the integrity of the build environment is compromised, and unauthorized commands or file operations may be performed. The vulnerability stems from the inherent risk of using eval() on untrusted input in a context intended to control dynamic build configurations. By directly interpreting selector expressions, conda-build creates a potential execution pathway for malicious code, violating security assumptions. This issue has been patched in version 25.4.0.",conda,conda-build,,,hot
CVE-2025-6137,2025-06-16 20:00:16.269000+00:00,TOTOLINK T10 HTTP POST Request cstecgi.cgi setWiFiScheduleCfg buffer overflow,A vulnerability classified as critical has been found in TOTOLINK T10 4.1.8cu.5207. Affected is the function setWiFiScheduleCfg of the file /cgi-bin/cstecgi.cgi of the component HTTP POST Request Handler. The manipulation of the argument desc leads to buffer overflow. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used.,TOTOLINK,T10,8.8,HIGH,cold
CVE-2025-6136,2025-06-16 19:31:05.649000+00:00,Projectworlds Life Insurance Management System insertPayment.php sql injection,A vulnerability was found in Projectworlds Life Insurance Management System 1.0. It has been rated as critical. This issue affects some unknown processing of the file /insertPayment.php. The manipulation of the argument recipt_no leads to sql injection. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used.,Projectworlds,Life Insurance Management System,6.3,MEDIUM,cold
CVE-2025-6135,2025-06-16 19:00:14.136000+00:00,Projectworlds Life Insurance Management System insertNominee.php sql injection,A vulnerability was found in Projectworlds Life Insurance Management System 1.0. It has been declared as critical. This vulnerability affects unknown code of the file /insertNominee.php. The manipulation of the argument client_id/nominee_id leads to sql injection. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used.,Projectworlds,Life Insurance Management System,6.3,MEDIUM,cold
CVE-2025-32797,2025-06-16 18:46:31.227000+00:00,Conda-build Insecure Build Script Permissions Enabling Arbitrary Code Execution,"Conda-build contains commands and tools to build conda packages. Prior to version 25.3.1, the write_build_scripts function in conda-build creates the temporary build script conda_build.sh with overly permissive file permissions (0o766), allowing write access to all users. Attackers with filesystem access can exploit a race condition to overwrite the script before execution, enabling arbitrary code execution under the victim's privileges. This risk is significant in shared environments, potentially leading to full system compromise. Even with non-static directory names, attackers can monitor parent directories for file creation events. The brief window between script creation (with insecure permissions) and execution allows rapid overwrites. Directory names can also be inferred via timestamps or logs, and automation enables exploitation even with semi-randomized paths by acting within milliseconds of detection. This issue has been patched in version 25.3.1. A workaround involves restricting conda_build.sh permissions from 0o766 to 0o700 (owner-only read/write/execute). Additionally, use atomic file creation (write to a temporary randomized filename and rename atomically) to minimize the race condition window.",conda,conda-build,,,hot
CVE-2025-6134,2025-06-16 18:31:04.855000+00:00,Projectworlds Life Insurance Management System insertClient.php sql injection,A vulnerability was found in Projectworlds Life Insurance Management System 1.0. It has been classified as critical. This affects an unknown part of the file /insertClient.php. The manipulation of the argument client_id leads to sql injection. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. Other parameters might be affected as well.,Projectworlds,Life Insurance Management System,6.3,MEDIUM,cold
CVE-2025-6087,2025-06-16 18:30:44.180000+00:00,SSRF vulnerability in opennextjs-cloudflare via /_next/image endpoint,"A Server-Side Request Forgery (SSRF) vulnerability was identified in the @opennextjs/cloudflare package. The vulnerability stems from an unimplemented feature in the Cloudflare adapter for Open Next, which allowed unauthenticated users to proxy arbitrary remote content via the /_next/image endpoint.

This issue allowed attackers to load remote resources from arbitrary hosts under the victim site’s domain for any site deployed using the Cloudflare adapter for Open Next. 




For example:

 https://victim-site.com/_next/image?url=https://attacker.com 

In this example, attacker-controlled content from attacker.com is served through the victim site’s domain (victim-site.com), violating the same-origin policy and potentially misleading users or other services.




Impact:

  *  SSRF via unrestricted remote URL loading




  *  Arbitrary remote content loading




  *  Potential internal service exposure or phishing risks through domain abuse







Mitigation:

The following mitigations have been put in place:

  *  Server side updates to Cloudflare’s platform to restrict the content loaded via the /_next/image endpoint to images. The update automatically mitigates the issue for all existing and any future sites deployed to Cloudflare using the affected version of the Cloudflare adapter for Open Next




  *   Root cause fix https://github.com/opennextjs/opennextjs-cloudflare/pull/727  to the Cloudflare adapter for Open Next. The patched version of the adapter is found here  @opennextjs/cloudflare@1.3.0 https://www.npmjs.com/package/@opennextjs/cloudflare/v/1.3.0 


  *   Package dependency update https://github.com/cloudflare/workers-sdk/pull/9608  to create-cloudflare (c3) to use the fixed version of the Cloudflare adapter for Open Next. The patched version of create-cloudflare is found here:  create-cloudflare@2.49.3 https://www.npmjs.com/package/create-cloudflare/v/2.49.3 




In addition to the automatic mitigation deployed on Cloudflare’s platform, we encourage affected  users to upgrade to @opennext/cloudflare v1.3.0 and use the  remotePatterns  https://nextjs.org/docs/pages/api-reference/components/image#remotepatterns  filter in Next config https://nextjs.org/docs/pages/api-reference/components/image#remotepatterns  if they need to allow-list external urls with images assets.",,,,,cold
CVE-2025-6133,2025-06-16 18:00:15.805000+00:00,Projectworlds Life Insurance Management System insertagent.php sql injection,A vulnerability was found in Projectworlds Life Insurance Management System 1.0 and classified as critical. Affected by this issue is some unknown functionality of the file /insertagent.php. The manipulation of the argument agent_id leads to sql injection. The attack may be launched remotely. The exploit has been disclosed to the public and may be used.,Projectworlds,Life Insurance Management System,6.3,MEDIUM,cold
CVE-2025-6132,2025-06-16 17:31:05.267000+00:00,Chanjet CRM departmentsetting.php sql injection,A vulnerability has been found in Chanjet CRM 1.0 and classified as critical. Affected by this vulnerability is an unknown functionality of the file /sysconfig/departmentsetting.php. The manipulation of the argument gblOrgID leads to sql injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used.,Chanjet,CRM,7.3,HIGH,cold
CVE-2025-6131,2025-06-16 17:00:15.848000+00:00,CodeAstro Food Ordering System POST Request Parameter edit cross site scripting,"A vulnerability, which was classified as problematic, was found in CodeAstro Food Ordering System 1.0. Affected is an unknown function of the file /admin/store/edit/ of the component POST Request Parameter Handler. The manipulation of the argument Restaurant Name/Address leads to cross site scripting. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used.",CodeAstro,Food Ordering System,2.4,LOW,cold
CVE-2025-6179,2025-06-16 16:56:37.722000+00:00,ChromeOS Extension Disablement and Developer Mode Bypass via ExtHang3r and ExtPrint3r Exploits,"Permissions Bypass in Extension Management in Google ChromeOS         16181.27.0 on managed Chrome devices allows a local attacker to disable extensions and access Developer Mode, including loading additional extensions via exploiting vulnerabilities using the ExtHang3r and ExtPrint3r tools.",Google,ChromeOS,,,hot
CVE-2025-6177,2025-06-16 16:43:44.191000+00:00,ChromeOS MiniOS Root Code Execution Bypass While Dev Mode Blocked,"Privilege Escalation in MiniOS in Google ChromeOS (16063.45.2 and potentially others) on enrolled devices allows a local attacker to gain root code execution via exploiting a debug shell (VT3 console) accessible through specific key combinations during developer mode entry and MiniOS access, even when developer mode is blocked by device policy or Firmware Write Protect (FWMP).",Google,ChromeOS,,,hot
CVE-2025-6130,2025-06-16 16:31:07.769000+00:00,TOTOLINK EX1200T HTTP POST Request formStats buffer overflow,"A vulnerability, which was classified as critical, has been found in TOTOLINK EX1200T 4.1.2cu.5232_B20210713. This issue affects some unknown processing of the file /boafrm/formStats of the component HTTP POST Request Handler. The manipulation leads to buffer overflow. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used.",TOTOLINK,EX1200T,8.8,HIGH,cold
CVE-2025-2327,2025-06-16 16:23:35.481000+00:00,FlashArray KEK Logging Vulnerability,A flaw exists in FlashArray whereby the Key Encryption Key (KEK) is logged during key rotation when RDL is configured.,Pure Storage,FlashArray,,,warm
CVE-2025-5309,2025-06-16 16:06:14.413000+00:00,Remote Support & Privileged Remote Access server side template injection,The chat feature within Remote Support (RS) and Privileged Remote Access (PRA) is vulnerable to a Server-Side Template Injection vulnerability which can lead to remote code execution.,BeyondTrust,Remote Support(RS) & Privileged Remote Access(PRA); Remote support & Privileged Remote Access,,,hot
CVE-2025-6129,2025-06-16 16:00:14.890000+00:00,TOTOLINK EX1200T HTTP POST Request formSaveConfig buffer overflow,A vulnerability classified as critical was found in TOTOLINK EX1200T 4.1.2cu.5232_B20210713. This vulnerability affects unknown code of the file /boafrm/formSaveConfig of the component HTTP POST Request Handler. The manipulation of the argument submit-url leads to buffer overflow. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used.,TOTOLINK,EX1200T,8.8,HIGH,cold
CVE-2025-6128,2025-06-16 15:31:05.931000+00:00,TOTOLINK EX1200T HTTP POST Request formWirelessTbl buffer overflow,A vulnerability classified as critical has been found in TOTOLINK EX1200T 4.1.2cu.5232_B20210713. This affects an unknown part of the file /boafrm/formWirelessTbl of the component HTTP POST Request Handler. The manipulation of the argument submit-url leads to buffer overflow. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used.,TOTOLINK,EX1200T,8.8,HIGH,cold
CVE-2025-49794,2025-06-16 15:24:31.020000+00:00,Libxml: heap use after free (uaf) leads to denial of service (dos),"A use-after-free vulnerability was found in libxml2. This issue occurs when parsing XPath elements under certain circumstances when the XML schematron has the <sch:name path=""...""/> schema elements. This flaw allows a malicious actor to craft a malicious XML document used as input for libxml, resulting in the program's crash using libxml or other possible undefined behaviors.",; Red Hat,; File Integrity Operator 1; Red Hat Enterprise Linux 10; Red Hat Enterprise Linux 6; Red Hat Enterprise Linux 7 Extended Lifecycle Support; Red Hat Enterprise Linux 8; Red Hat Enterprise Linux 8.2 Advanced Update Support; Red Hat Enterprise Linux 8.4 Advanced Mission Critical Update Support; Red Hat Enterprise Linux 8.4 Extended Update Support Long-Life Add-On; Red Hat Enterprise Linux 8.6 Advanced Mission Critical Update Support; Red Hat Enterprise Linux 8.6 Telecommunications Update Service; Red Hat Enterprise Linux 8.6 Update Services for SAP Solutions; Red Hat Enterprise Linux 8.8 Telecommunications Update Service; Red Hat Enterprise Linux 8.8 Update Services for SAP Solutions; Red Hat Enterprise Linux 9; Red Hat Enterprise Linux 9.0 Update Services for SAP Solutions; Red Hat Enterprise Linux 9.2 Update Services for SAP Solutions; Red Hat Enterprise Linux 9.4 Extended Update Support; Red Hat Insights proxy 1.5; Red Hat JBoss Core Services 2.4.62.SP2; Red Hat OpenShift Container Platform 4.12; Red Hat OpenShift Container Platform 4.13; Red Hat OpenShift Container Platform 4.14; Red Hat OpenShift Container Platform 4.17; Red Hat OpenShift Container Platform 4.18; Red Hat OpenShift Container Platform 4.19; Red Hat OpenShift Container Platform 4.20; Red Hat Web Terminal 1.11 on RHEL 9; Red Hat Web Terminal 1.12 on RHEL 9; cert-manager operator for Red Hat OpenShift 1.16,9.1,CRITICAL,cold
CVE-2025-6170,2025-06-16 15:24:05.410000+00:00,Libxml2: stack buffer overflow in xmllint interactive shell command handling,"A flaw was found in the interactive shell of the xmllint command-line tool, used for parsing XML files. When a user inputs an overly long command, the program does not check the input size properly, which can cause it to crash. This issue might allow attackers to run harmful code in rare configurations without modern protections.",; Red Hat,; Red Hat Enterprise Linux 10; Red Hat Enterprise Linux 6; Red Hat Enterprise Linux 7; Red Hat Enterprise Linux 8; Red Hat Enterprise Linux 9; Red Hat JBoss Core Services; Red Hat OpenShift Container Platform 4,2.5,LOW,warm
CVE-2025-49795,2025-06-16 15:19:29.871000+00:00,Libxml: null pointer dereference leads to denial of service (dos),"A NULL pointer dereference vulnerability was found in libxml2 when processing XPath XML expressions. This flaw allows an attacker to craft a malicious XML input to libxml2, leading to a denial of service.",; Red Hat,; Red Hat Enterprise Linux 10; Red Hat Enterprise Linux 6; Red Hat Enterprise Linux 7; Red Hat Enterprise Linux 8; Red Hat Enterprise Linux 9; Red Hat JBoss Core Services 2.4.62.SP2,7.5,HIGH,warm
CVE-2025-49796,2025-06-16 15:14:28.251000+00:00,Libxml: type confusion leads to denial of service (dos),"A vulnerability was found in libxml2. Processing certain sch:name elements from the input XML file can trigger a memory corruption issue. This flaw allows an attacker to craft a malicious XML input file that can lead libxml to crash, resulting in a denial of service or other possible undefined behavior due to sensitive data being corrupted in memory.",; Red Hat,; File Integrity Operator 1; Red Hat Discovery 2; Red Hat Enterprise Linux 10; Red Hat Enterprise Linux 6; Red Hat Enterprise Linux 7 Extended Lifecycle Support; Red Hat Enterprise Linux 8; Red Hat Enterprise Linux 8.2 Advanced Update Support; Red Hat Enterprise Linux 8.4 Advanced Mission Critical Update Support; Red Hat Enterprise Linux 8.4 Extended Update Support Long-Life Add-On; Red Hat Enterprise Linux 8.6 Advanced Mission Critical Update Support; Red Hat Enterprise Linux 8.6 Telecommunications Update Service; Red Hat Enterprise Linux 8.6 Update Services for SAP Solutions; Red Hat Enterprise Linux 8.8 Telecommunications Update Service; Red Hat Enterprise Linux 8.8 Update Services for SAP Solutions; Red Hat Enterprise Linux 9; Red Hat Enterprise Linux 9.0 Update Services for SAP Solutions; Red Hat Enterprise Linux 9.2 Update Services for SAP Solutions; Red Hat Enterprise Linux 9.4 Extended Update Support; Red Hat Insights proxy 1.5; Red Hat JBoss Core Services 2.4.62.SP2; Red Hat OpenShift Container Platform 4.12; Red Hat OpenShift Container Platform 4.13; Red Hat OpenShift Container Platform 4.14; Red Hat OpenShift Container Platform 4.17; Red Hat OpenShift Container Platform 4.18; Red Hat OpenShift Container Platform 4.19; Red Hat OpenShift Container Platform 4.20; Red Hat Web Terminal 1.11 on RHEL 9; Red Hat Web Terminal 1.12 on RHEL 9; cert-manager operator for Red Hat OpenShift 1.16,9.1,CRITICAL,cold
CVE-2025-48976,2025-06-16 15:00:48.140000+00:00,"Apache Commons FileUpload, Apache Commons FileUpload: FileUpload DoS via part headers","Allocation of resources for multipart headers with insufficient limits enabled a DoS vulnerability in Apache Commons FileUpload.

This issue affects Apache Commons FileUpload: from 1.0 before 1.6; from 2.0.0-M1 before 2.0.0-M4.

Users are recommended to upgrade to versions 1.6 or 2.0.0-M4, which fix the issue.",Apache Software Foundation,Apache Commons FileUpload,,,cold
CVE-2025-6127,2025-06-16 15:00:11.968000+00:00,PHPGurukul Nipah Virus Testing Management System search-report.php cross site scripting,A vulnerability was found in PHPGurukul Nipah Virus Testing Management System 1.0. It has been rated as problematic. Affected by this issue is some unknown functionality of the file /search-report.php. The manipulation of the argument serachdata leads to cross site scripting. The attack may be launched remotely. The exploit has been disclosed to the public and may be used.,PHPGurukul,Nipah Virus Testing Management System,3.5,LOW,cold
CVE-2025-4565,2025-06-16 14:50:40.906000+00:00,Unbounded recursion in Python Protobuf,"Any project that uses Protobuf Pure-Python backend to parse untrusted Protocol Buffers data containing an arbitrary number of recursive groups, recursive messages or a series of SGROUP tags can be corrupted by exceeding the Python recursion limit. This can result in a Denial of service by crashing the application with a RecursionError. We recommend upgrading to version =>6.31.1 or beyond commit 17838beda2943d08b8a9d4df5b68f5f04f26d901",protocolbuffers,Python-Protobuf,,,cold
CVE-2025-6126,2025-06-16 14:31:06.253000+00:00,PHPGurukul Rail Pass Management System contact.php cross site scripting,A vulnerability was found in PHPGurukul Rail Pass Management System 1.0. It has been declared as problematic. Affected by this vulnerability is an unknown functionality of the file /contact.php. The manipulation of the argument Name leads to cross site scripting. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. Other parameters might be affected as well.,PHPGurukul,Rail Pass Management System,4.3,MEDIUM,cold
CVE-2025-49124,2025-06-16 14:22:16.288000+00:00,Apache Tomcat: exe side-loading via icalcs.exe in Tomcat installer for Windows,"Untrusted Search Path vulnerability in Apache Tomcat installer for Windows. During installation, the Tomcat installer for Windows used icacls.exe without specifying a full path.

This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.7, from 10.1.0 through 10.1.41, from 9.0.23 through 9.0.105.
The following versions were EOL at the time the CVE was created but are 
known to be affected: 8.5.0 through 8.5.100 and 7.0.95 through 7.0.109. Other EOL versions may also be affected.


Users are recommended to upgrade to version 11.0.8, 10.1.42 or 9.0.106, which fix the issue.",Apache Software Foundation,Apache Tomcat,,,cold
CVE-2025-3526,2025-06-16 14:18:34.913000+00:00,,"SessionClicks in Liferay Portal 7.0.0 through 7.4.3.21, and Liferay DXP 7.4 GA through update 9, 7.3 GA through update 25, and older unsupported versions does not restrict the saving of request parameters in the HTTP session, which allows remote attackers to consume system memory leading to denial-of-service (DoS) conditions via crafted HTTP requests.",Liferay,DXP; Portal,,,hot
CVE-2025-49125,2025-06-16 14:18:09.610000+00:00,Apache Tomcat: Security constraint bypass for pre/post-resources,"Authentication Bypass Using an Alternate Path or Channel vulnerability in Apache Tomcat.  When using PreResources or PostResources mounted other than at the root of the web application, it was possible to access those resources via an unexpected path. That path was likely not to be protected by the same security constraints as the expected path, allowing those security constraints to be bypassed.

This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.7, from 10.1.0-M1 through 10.1.41, from 9.0.0.M1 through 9.0.105.
The following versions were EOL at the time the CVE was created but are 
known to be affected: 8.5.0 through 8.5.100. Other, older, EOL versions 
may also be affected.


Users are recommended to upgrade to version 11.0.8, 10.1.42 or 9.0.106, which fix the issue.",Apache Software Foundation,Apache Tomcat,,,cold
CVE-2025-3594,2025-06-16 14:13:54.426000+00:00,,"Path traversal vulnerability with the downloading and installation of Xuggler in Liferay Portal 7.0.0 through 7.4.3.4, and Liferay DXP 7.4 GA, 7.3 GA through update 34, and older unsupported versions allows remote attackers to (1) add files to arbitrary locations on the server and (2) download and execute arbitrary files from the download server via the `_com_liferay_server_admin_web_portlet_ServerAdminPortlet_jarName` parameter.",Liferay,DXP; Portal,,,warm
CVE-2025-48988,2025-06-16 14:13:40.457000+00:00,Apache Tomcat: FileUpload large number of parts with headers DoS,"Allocation of Resources Without Limits or Throttling vulnerability in Apache Tomcat.

This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.7, from 10.1.0-M1 through 10.1.41, from 9.0.0.M1 through 9.0.105.
The following versions were EOL at the time the CVE was created but are 
known to be affected: 8.5.0 though 8.5.100. Other, older, EOL versions 
may also be affected.


Users are recommended to upgrade to version 11.0.8, 10.1.42 or 9.0.106, which fix the issue.",Apache Software Foundation,Apache Tomcat,,,cold
CVE-2025-6125,2025-06-16 14:00:12.086000+00:00,PHPGurukul Rail Pass Management System aboutus.php cross site scripting,A vulnerability was found in PHPGurukul Rail Pass Management System 1.0. It has been classified as problematic. Affected is an unknown function of the file /admin/aboutus.php. The manipulation of the argument pagedes leads to cross site scripting. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used.,PHPGurukul,Rail Pass Management System,2.4,LOW,cold
CVE-2025-36632,2025-06-16 13:56:23.618000+00:00,Local Privilege Escalation,"In Tenable Agent versions prior to 10.8.5 on a Windows host, it was found that a non-administrative user could execute code with SYSTEM privilege.",Tenable,Agent,7.8,HIGH,cold
CVE-2025-3602,2025-06-16 13:50:04.254000+00:00,,"Liferay Portal 7.4.0 through 7.4.3.97, and Liferay DXP 2023.Q3.1 through 2023.Q3.2, 7.4 GA through update 92, 7.3 GA through update 35, and 7.2 fix pack 8 through fix pack 20 does not limit the depth of a GraphQL queries, which allows remote attackers to perform denial-of-service (DoS) attacks on the application by executing complex queries.",Liferay,DXP; Portal,,,warm
CVE-2025-6124,2025-06-16 13:31:04.921000+00:00,code-projects Restaurant Order System tablelow.php sql injection,A vulnerability was found in code-projects Restaurant Order System 1.0 and classified as critical. This issue affects some unknown processing of the file /tablelow.php. The manipulation of the argument ID leads to sql injection. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used.,code-projects,Restaurant Order System,7.3,HIGH,cold
CVE-2025-6123,2025-06-16 13:00:08.092000+00:00,code-projects Restaurant Order System payment.php sql injection,A vulnerability has been found in code-projects Restaurant Order System 1.0 and classified as critical. This vulnerability affects unknown code of the file /payment.php. The manipulation of the argument tabidNoti leads to sql injection. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used.,code-projects,Restaurant Order System,7.3,HIGH,cold
CVE-2025-6122,2025-06-16 12:31:06.180000+00:00,code-projects Restaurant Order System table.php sql injection,"A vulnerability, which was classified as critical, was found in code-projects Restaurant Order System 1.0. This affects an unknown part of the file /table.php. The manipulation of the argument ID leads to sql injection. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used.",code-projects,Restaurant Order System,6.3,MEDIUM,cold
CVE-2025-6121,2025-06-16 12:00:12.435000+00:00,D-Link DIR-632 HTTP POST Request get_pure_content stack-based overflow,"A vulnerability, which was classified as critical, has been found in D-Link DIR-632 FW103B08. Affected by this issue is the function get_pure_content of the component HTTP POST Request Handler. The manipulation of the argument Content-Length leads to stack-based buffer overflow. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. This vulnerability only affects products that are no longer supported by the maintainer.",D-Link,DIR-632,9.8,CRITICAL,hot
CVE-2025-5689,2025-06-16 11:37:12.230000+00:00,Improper Permission Management in SSH Session Handling,"A flaw was found in the temporary user record that authd uses in the pre-auth NSS. As a result, a user login for the first time will be considered to be part of the root group in the context of that SSH session.",Canonical,authd,8.5,HIGH,cold
CVE-2025-6120,2025-06-16 11:31:06.030000+00:00,Open Asset Import Library Assimp HL1MDLLoader.cpp read_meshes heap-based overflow,A vulnerability classified as critical was found in Open Asset Import Library Assimp up to 5.4.3. Affected by this vulnerability is the function read_meshes in the library assimp/code/AssetLib/MDL/HalfLife/HL1MDLLoader.cpp. The manipulation leads to heap-based buffer overflow. It is possible to launch the attack on the local host. The exploit has been disclosed to the public and may be used. The project decided to collect all Fuzzer bugs in a main-issue to address them in the future.,Open Asset Import Library,Assimp,5.3,MEDIUM,cold
CVE-2025-24388,2025-06-16 11:29:20.295000+00:00,Unsafe handling of AJAX calls,"A vulnerability in the OTRS Admin Interface and Agent Interface (versions before OTRS 8) allow parameter injection due to for an autheniticated agent or admin user.

This issue affects: 

  *  OTRS 7.0.X

  *  OTRS 8.0.X
  *  OTRS 2023.X
  *  OTRS 2024.X
  *  OTRS 2025.X

  *  ((OTRS)) Community Edition: 6.0.x

Products based on the ((OTRS)) Community Edition also very likely to be affected",OTRS AG,((OTRS)) Community Edition; OTRS,3.8,LOW,cold
CVE-2025-46710,2025-06-16 11:13:19.232000+00:00,,Possible kernel exceptions caused by reading and writing kernel heap data after free.,Imagination Technologies,Graphics DDK,,,warm
CVE-2025-40916,2025-06-16 11:01:08.871000+00:00,Mojolicious::Plugin::CaptchaPNG version 1.05 for Perl uses a weak random number source for generating the captcha text,"Mojolicious::Plugin::CaptchaPNG version 1.05 for Perl uses a weak random number source for generating the captcha.

That version uses the built-in rand() function for generating the captcha text as well as image noise, which is insecure.",GRYPHON,Mojolicious::Plugin::CaptchaPNG,,,cold
CVE-2025-4748,2025-06-16 11:00:54.643000+00:00,"Absolute path traversal in zip:unzip/1,2","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') vulnerability in Erlang OTP (stdlib modules) allows Absolute Path Traversal, File Manipulation. This vulnerability is associated with program files lib/stdlib/src/zip.erl and program routines zip:unzip/1, zip:unzip/2, zip:extract/1, zip:extract/2 unless the memory option is passed.

This issue affects OTP from OTP 17.0 until OTP 28.0.1, OTP 27.3.4.1 and OTP 26.2.5.13, corresponding to stdlib from 2.0 until 7.0.1, 6.2.2.1 and 5.2.3.4.",Erlang,OTP,,,cold
CVE-2025-47869,2025-06-16 11:00:37.755000+00:00,Apache NuttX RTOS: examples/xmlrpc: Fix calls buffers size.,"Improper Restriction of Operations within the Bounds of a Memory Buffer vulnerability was discovered in Apache NuttX RTOS apps/exapmles/xmlrpc application. In this example application device stats structure that stored remotely provided parameters had hardcoded buffer size which could lead to buffer overflow. Structure members buffers were updated to valid size of CONFIG_XMLRPC_STRINGSIZE+1.

This issue affects Apache NuttX RTOS users that may have used or base their code on example application as presented in releases from 6.22 before 12.9.0.

Users of XMLRPC in Apache NuttX RTOS are advised to review their code 
for this pattern and update buffer sizes as presented in the version of 
the example in release 12.9.0.",Apache Software Foundation,Apache NuttX RTOS,,,cold
CVE-2025-6119,2025-06-16 11:00:09.282000+00:00,Open Asset Import Library Assimp BVHLoader.cpp ReadNodeChannels use after free,A vulnerability classified as critical has been found in Open Asset Import Library Assimp up to 5.4.3. Affected is the function Assimp::BVHLoader::ReadNodeChannels in the library assimp/code/AssetLib/BVH/BVHLoader.cpp. The manipulation of the argument pNode leads to use after free. Attacking locally is a requirement. The exploit has been disclosed to the public and may be used. The project decided to collect all Fuzzer bugs in a main-issue to address them in the future.,Open Asset Import Library,Assimp,5.3,MEDIUM,cold
CVE-2025-47868,2025-06-16 11:00:05.293000+00:00,Apache NuttX RTOS: tools/bdf-converter.: tools/bdf-converter: Fix loop termination condition.,"Out-of-bounds Write resulting in possible Heap-based Buffer Overflow vulnerability was discovered in tools/bdf-converter font conversion utility that is part of Apache NuttX RTOS repository. This standalone program is optional and neither part of NuttX RTOS nor Applications runtime, but active bdf-converter users may be affected when this tool is exposed to external provided user data data (i.e. publicly available automation).

This issue affects Apache NuttX: from 6.9 before 12.9.0.

Users are recommended to upgrade to version 12.9.0, which fixes the issue.",Apache Software Foundation,Apache NuttX RTOS: tools/bdf-converter.,,,cold
CVE-2025-6118,2025-06-16 10:31:05.313000+00:00,Das Parking Management System 停车场管理系统 API search sql injection,A vulnerability was found in Das Parking Management System 停车场管理系统 6.2.0. It has been rated as critical. This issue affects some unknown processing of the file /vehicle/search of the component API. The manipulation of the argument vehicleTypeCode leads to sql injection. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used.,Das,Parking Management System 停车场管理系统,7.3,HIGH,cold
CVE-2025-6117,2025-06-16 10:00:12.506000+00:00,Das Parking Management System 停车场管理系统 API Search sql injection,A vulnerability was found in Das Parking Management System 停车场管理系统 6.2.0. It has been declared as critical. This vulnerability affects unknown code of the file /Reservations/Search of the component API. The manipulation of the argument Value leads to sql injection. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used.,Das,Parking Management System 停车场管理系统,7.3,HIGH,cold
CVE-2025-25265,2025-06-16 09:46:13.998000+00:00,Unauthenticated File Read via Web Interface,A web application for configuring the controller is accessible at a specific path. It contains an endpoint that allows a high privileged remote attacker to read files from the system’s file structure.,WAGO,CC100 0751-9x01; Edge Controller 0752-8303/8000-0002; PFC100 G1 0750-810x/xxxx-xxxx; PFC100 G2 0750-811x-xxxx-xxxx; PFC200 G1 750-820x-xxx-xxx; PFC200 G2 750-821x-xxx-xxx; TP600 0762-420x/8000-000x; TP600 0762-430x/8000-000x; TP600 0762-520x/8000-000x; TP600 0762-530x/8000-000x; TP600 0762-620x/8000-000x; TP600 0762-630x/8000-000x; WAGO CC100 0751-9x01,4.9,MEDIUM,hot
CVE-2025-25264,2025-06-16 09:45:31.613000+00:00,Overly Permissive CORS Policy in WAGO Device Manager,An unauthenticated remote attacker can trick an admin to visit a website containing malicious java script code. The current overly permissive CORS policy allows the attacker to obtain any files from the file system.,WAGO,CC100 0751-9x01; Edge Controller 0752-8303/8000-0002; PFC100 G1 0750-810x/xxxx-xxxx; PFC100 G2 0750-811x-xxxx-xxxx; PFC200 G1 750-820x-xxx-xxx; PFC200 G2 750-821x-xxx-xxx; TP600 0762-420x/8000-000x; TP600 0762-430x/8000-000x; TP600 0762-520x/8000-000x; TP600 0762-530x/8000-000x; TP600 0762-620x/8000-000x; TP600 0762-630x/8000-000x,6.5,MEDIUM,hot
