,cve,assigner,published,title,description,vendor,product,affected versions,rating
4077,CVE-2025-25039,hpe,2025-02-04T18:13:23.132Z,Authenticated Remote Command Injection in HPE Aruba Networking ClearPass Policy Manager Web-Based Management Interface,A vulnerability in the web-based management interface of HPE Aruba Networking ClearPass Policy Manager (CPPM) allows remote authenticated users to run arbitrary commands on the underlying host. A successful exploit could allow an attacker to execute arbitrary commands as a lower privileged user on the underlying operating system.,HEWLETT PACKARD ENTERPRISE (HPE),HPE Aruba Networking ClearPass Policy Manager,6.11.0; 6.12.0,warm
4079,CVE-2025-25041,hpe,2025-04-01T16:45:53.717Z,Arbitrary File Overwrite in HPE Aruba Networking Virtual Intranet Access (VIA) Microsoft Windows Client,A vulnerability in the HPE Aruba Networking Virtual Intranet Access (VIA) client could allow malicious users to overwrite arbitrary files as NT AUTHORITY\SYSTEM (root). A successful exploit could allow the creation of a Denial-of-Service (DoS) condition affecting the Microsoft Windows Operating System. This vulnerability does not affect Linux and Android based clients.,HEWLETT PACKARD ENTERPRISE (HPE),Virtual Intranet Access (VIA),4.0.0,warm
4080,CVE-2025-25042,hpe,2025-03-18T19:02:02.192Z,Authenticated Access Control Vulnerability allows Sensitive Information Disclosure in AOS-CX REST Interface,"A vulnerability in the AOS-CX REST interface could allow an authenticated remote attacker with low privileges to view sensitive information. Successful exploitation could allow an attacker to read encrypted credentials of other users on the switch, potentially leading to further unauthorized access or data breaches.",HEWLETT PACKARD ENTERPRISE (HPE),AOS-CX,10.10.0000; 10.13.0000; 10.14.0000; 10.15.0000,warm
4081,CVE-2025-25044,ibm,2025-06-01T11:35:22.032Z,IBM Planning Analytics Local cross-site scripting,IBM Planning Analytics Local 2.0 and 2.1 is vulnerable to cross-site scripting. This vulnerability allows an authenticated user to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.,IBM,Planning Analytics Local,2.0; 2.1,warm
4083,CVE-2025-25046,ibm,2025-04-23T22:24:43.269Z,IBM InfoSphere Information Server information disclosure,"IBM InfoSphere Information Server 11.7 DataStage Flow Designer 

transmits sensitive information via URL or query parameters that could be exposed to an unauthorized actor using man in the middle techniques.",IBM,InfoSphere Information Server,11.7,warm
4084,CVE-2025-25050,talos,2025-06-13T21:03:18.087Z,Dell ControlVault3/ControlVault3 Plus cv_upgrade_sensor_firmware out-of-bounds write vulnerability,"An out-of-bounds write vulnerability exists in the 
cv_upgrade_sensor_firmware functionality of Dell ControlVault3 prior to 5.15.10.14 and Dell ControlVault 3 Plus prior to 6.2.26.36.
 A specially crafted ControlVault API call can lead to an out-of-bounds 
write. An attacker can issue an API call to trigger this vulnerability.",BROADCOM,BCM5820X; ControlVault3; ControlVault3 Plus,0; NA,hot
4086,CVE-2025-25053,jpcert,2025-04-09T09:03:09.322Z,,"OS command injection vulnerability in the WEB UI (the setting page) exists in Wi-Fi AP UNIT 'AC-WPS-11ac series'. If exploited, an arbitrary OS command may be executed by a remote attacker who can log in to the product.",INABA DENKI SANGYO CO.,AC-PD-WPS-11ac; AC-PD-WPS-11ac-P; AC-WPS-11ac; AC-WPS-11ac-P; AC-WPSM-11ac; AC-WPSM-11ac-P,v2.0.03P and earlier,warm
4091,CVE-2025-25060,jpcert,2025-04-02T03:20:54.826Z,,"Missing authentication for critical function vulnerability exists in AssetView and AssetView CLOUD. If exploited, the files on the server where the product is running may be obtained and/or deleted by a remote unauthenticated attacker.",HAMMOCK CORPORATION,AssetView; AssetView CLOUD,prior to Ver 13.2.4.3408 (13.2.4O); prior to Ver 13.3.4.3004 (13.3.4K),warm
4092,CVE-2025-25061,jpcert,2025-04-04T02:10:08.271Z,,"Unintended proxy or intermediary ('Confused Deputy') issue exists in HMI ViewJet C-more series and HMI GC-A2 series, which may allow a remote unauthenticated attacker to use the product as an intermediary for FTP bounce attack.",JTEKT ELECTRONICS CORPORATION,HMI GC-A2 series; HMI ViewJet C-more series,All versions,warm
4098,CVE-2025-25067,icscert,2025-02-13T21:35:45.844Z,mySCADA myPRO Manager OS Command Injection,"mySCADA myPRO Manager
 
is vulnerable to an OS command injection which could allow a remote attacker to execute arbitrary OS commands.",MYSCADA,myPRO Manager,0,hot
4101,CVE-2025-25175,siemens,2025-03-13T09:07:09.436Z,,"A vulnerability has been identified in Simcenter Femap V2401 (All versions < V2401.0003), Simcenter Femap V2406 (All versions < V2406.0002). The affected application contains a memory corruption vulnerability while  parsing specially crafted .NEU files. This could allow an attacker to execute code in the context of the current process. (ZDI-CAN-25443)",SIEMENS,Simcenter Femap V2401; Simcenter Femap V2406,0,hot
4102,CVE-2025-25178,imaginationtech,2025-04-04T15:42:57.726Z,GPU DDK - PhysmemWrapExtMem uiSize=0 corrupts kernel memory,Software installed and run as a non-privileged user may conduct improper GPU system calls to cause kernel system memory corruption.,IMAGINATION TECHNOLOGIES,Graphics DDK,1.15 RTM; 25.1 RTM,warm
4103,CVE-2025-25179,imaginationtech,2025-06-02T04:19:18.316Z,GPU DDK - Freelist GPU VA can be remapped to another reservation/PMR to trigger GPU arbitrary write to physical memory,Software installed and run as a non-privileged user may conduct improper GPU system calls to subvert GPU HW to write to arbitrary physical memory pages.,IMAGINATION TECHNOLOGIES,Graphics DDK,1.15 RTM; 1.17 RTM; 1.18 RTM; 23.2 RTM; 25.1 RTM,warm
4104,CVE-2025-25180,imaginationtech,2025-07-14T01:36:14.742Z,GPU DDK - Insufficient validation in RGXCREATEFREELIST creates corrupt freelist,"Software installed and run as a non-privileged user may conduct improper GPU system calls to subvert GPU HW to write to arbitrary physical memory pages.

Under certain circumstances this exploit could be used to corrupt data pages not allocated by the GPU driver but memory pages in use by the kernel and drivers running on the platform altering their behaviour.",IMAGINATION TECHNOLOGIES,Graphics DDK,1.15 RTM; 1.17 RTM; 1.18 RTM; 23.2 RTM; 25.1 RTM1,warm
4105,CVE-2025-25181,mitre,2025-02-03T00:00:00.000Z,,A SQL injection vulnerability in timeoutWarning.asp in Advantive VeraCore through 2025.1.0 allows remote attackers to execute arbitrary SQL commands via the PmSess1 parameter.,ADVANTIVE,VeraCore,0,warm
4106,CVE-2025-25182,GitHub_M,2025-02-12T16:16:45.327Z,Stroom Authentication/Authorization Bypass when using AWS ALB,"Stroom is a data processing, storage and analysis platform. A vulnerability exists starting in version 7.2-beta.53 and prior to versions 7.2.24, 7.3-beta.22, 7.4.4, and 7.5-beta.2 that allows authentication bypass to a Stroom system when configured with ALB and installed in a way that the application is accessible not through the ALB itself. This vulnerability may also allow for server-side request forgery which may lead to code execution or further privileges escalations when using the AWS metadata URL. This scenario assumes that Stroom must be configured to use ALB Authentication integration and the application is network accessible. The vulnerability has been fixed in versions 7.2.24, 7.3-beta.22, 7.4.4, and 7.5-beta.2.",GCHQ,stroom,,hot
4109,CVE-2025-25185,GitHub_M,2025-03-03T15:33:21.272Z,GPT Academic allows arbitary file read by tarfile uncompress within softlink,"GPT Academic provides interactive interfaces for large language models. In 3.91 and earlier, GPT Academic does not properly account for soft links. An attacker can create a malicious file as a soft link pointing to a target file, then package this soft link file into a tar.gz file and upload it. Subsequently, when accessing the decompressed file from the server, the soft link will point to the target file on the victim server. The vulnerability allows attackers to read all files on the server.",BINARY-HUSKY,gpt_academic,<= 3.91,warm
4114,CVE-2025-25190,GitHub_M,2025-02-10T22:11:00.406Z,[XBOW-025-033] Cross-Site Scripting (XSS) via EchoProcess Service in ZOO-Project WPS Server,"The ZOO-Project is an open source processing platform. The ZOO-Project Web Processing Service (WPS) Server contains a Cross-Site Scripting (XSS) vulnerability in its EchoProcess service prior to commit 7a5ae1a. The vulnerability exists because the EchoProcess service directly reflects user input in its output without proper sanitization when handling complex inputs.The service accepts various input formats including XML, JSON, and SVG, and returns the content based on the requested MIME type. When processing SVG content and returning it with the image/svg+xml MIME type, the server fails to sanitize potentially malicious JavaScript in attributes like onload, allowing arbitrary JavaScript execution in the victim's browser context. This vulnerability is particularly dangerous because it exists in a service specifically designed to echo back user input, and the lack of proper sanitization in combination with SVG handling creates a reliable XSS vector. Commit 7a5ae1a contains a fix for the issue.",ZOO-PROJECT,ZOO-Project,< 7a5ae1a,warm
4117,CVE-2025-25193,GitHub_M,2025-02-10T22:02:17.197Z,Denial of Service attack on windows app using Netty,"Netty, an asynchronous, event-driven network application framework, has a vulnerability in versions up to and including 4.1.118.Final. An unsafe reading of environment file could potentially cause a denial of service in Netty. When loaded on an Windows application, Netty attempts to load a file that does not exist. If an attacker creates such a large file, the Netty application crash. A similar issue was previously reported as CVE-2024-47535. This issue was fixed, but the fix was incomplete in that null-bytes were not counted against the input limit. Commit d1fbda62d3a47835d3fb35db8bd42ecc205a5386 contains an updated fix.",NETTY,netty,<= 4.1.118,warm
4121,CVE-2025-25197,GitHub_M,2025-04-10T12:58:13.674Z,"Silverstripe Elemental enables XSS attacks in elemental ""Content blocks in use"" reports","Silverstripe Elemental extends a page type to swap the content area for a list of manageable elements to compose a page out of rather than a single text field. An elemental block can include an XSS payload, which can be executed when viewing the ""Content blocks in use"" report. The vulnerability is specific to that report and is a result of failure to cast input prior to including it in the grid field. This vulnerability is fixed in 5.3.12.",SILVERSTRIPE,silverstripe-elemental,">= 2.1.2, < 5.3.12",warm
4122,CVE-2025-25198,GitHub_M,2025-02-12T17:46:06.491Z,mailcow: dockerized vulnerable to password reset poisoning,"mailcow: dockerized is an open source groupware/email suite based on docker. Prior to version 2025-01a, a vulnerability in mailcow's password reset functionality allows an attacker to manipulate the `Host HTTP` header to generate a password reset link pointing to an attacker-controlled domain. This can lead to account takeover if a user clicks the poisoned link. Version 2025-01a contains a patch. As a workaround, deactivate the password reset functionality by clearing `Notification email sender` and `Notification email subject` under System -> Configuration -> Options -> Password Settings.",MAILCOW,mailcow-dockerized,< 2025-01a,warm
4129,CVE-2025-25205,GitHub_M,2025-02-12T18:16:01.326Z,Remote Authentication-Bypass can lead to server crash or limited information disclosure due to faulty pattern matching,"Audiobookshelf is a self-hosted audiobook and podcast server. Starting in version 2.17.0 and prior to version 2.19.1, a flaw in the authentication bypass logic allows unauthenticated requests to match certain unanchored regex patterns in the URL. Attackers can craft URLs containing substrings like ""/api/items/1/cover"" in a query parameter (?r=/api/items/1/cover) to partially bypass authentication or trigger server crashes under certain routes. This could lead to information disclosure of otherwise protected data and, in some cases, a complete denial of service (server crash) if downstream code expects an authenticated user object. Version 2.19.1 contains a patch for the issue.",ADVPLYR,audiobookshelf,">= 2.17.0, < 2.19.1",warm
4131,CVE-2025-25207,redhat,2025-06-09T06:12:51.416Z,Rhcl: authpolicy callbacks result in denial of service in authorino severity,"The Authorino service in the Red Hat Connectivity Link is the authorization service for zero trust API security. Authorino allows the users with developer persona to add callbacks to be executed to HTTP endpoints once the authorization process is completed. It was found that an attacker with developer persona access can add a large number of those callbacks to be executed by Authorino and as the authentication policy is enforced by a single instance of the service, this leada to a Denial of Service in Authorino while processing the post-authorization callbacks.",; RED HAT,; Red Hat Connectivity Link 1,1.0.1,warm
4132,CVE-2025-25208,redhat,2025-06-09T06:13:03.864Z,Rhcl: authorino denial of service through authpolicy with sharedsecretref severity,"A Developer persona can bring down the Authorino service, preventing the evaluation of all AuthPolicies on the cluster",; RED HAT,; Red Hat Connectivity Link 1,1.0.1,warm
4133,CVE-2025-25209,redhat,2025-06-09T06:13:56.342Z,Rhcl: sharedsecretref can be used to leak secrets severity,"The AuthPolicy metadata on Red Hat Connectivity Link contains an object which stores secretes, however it assumes those secretes are already in the kuadrant-system instead of copying it to the referred namespace. This creates space for a malicious actor with a developer persona access to leak those secrets over HTTP connection, as long the attacker knows the name of the targeted secrets and those secrets are limited to one line only.",; RED HAT,; Red Hat Connectivity Link 1,1.0.1,warm
4136,CVE-2025-25213,jpcert,2025-04-09T09:03:20.081Z,,"Improper restriction of rendered UI layers or frames issue exists in Wi-Fi AP UNIT 'AC-WPS-11ac series'. If a user views and clicks on the content on the malicious page while logged in, unintended operations may be performed.",INABA DENKI SANGYO CO.,AC-PD-WPS-11ac; AC-PD-WPS-11ac-P; AC-WPS-11ac; AC-WPS-11ac-P; AC-WPSM-11ac; AC-WPSM-11ac-P,v2.0.03P and earlier,warm
4137,CVE-2025-25214,talos,2025-07-24T15:10:58.938Z,,A race condition vulnerability exists in the aVideoEncoder.json.php unzip functionality of WWBN AVideo 14.4 and dev master commit 8a8954ff. A series of specially crafted HTTP request can lead to arbitrary code execution.,WWBN,AVideo,14.4; dev master commit 8a8954ff,warm
4138,CVE-2025-25215,talos,2025-06-13T21:26:58.869Z,Dell ControlVault3/ControlVault3 Plus cv_close arbitrary free vulnerability,"An arbitrary free vulnerability exists in the cv_close functionality of 
Dell ControlVault3 prior to 5.15.10.14 and Dell ControlVault3 Plus prior to 6.2.26.36. A specially crafted ControlVault API call 
can lead to an arbitrary free. An attacker can forge a fake session to 
trigger this vulnerability.",BROADCOM,BCM5820X; ControlVault3; ControlVault3 Plus,0; NA,hot
4142,CVE-2025-25221,jpcert,2025-02-18T00:10:25.747Z,,"The LuxCal Web Calendar prior to 5.3.3M (MySQL version) and prior to 5.3.3L (SQLite version) contains an SQL injection vulnerability in pdf.php. If this vulnerability is exploited, information in a database may be deleted, altered, or retrieved.",LUXSOFT,The LuxCal Web Calendar,prior to 5.3.3L (SQLite version); prior to 5.3.3M (MySQL version),warm
4143,CVE-2025-25222,jpcert,2025-02-18T00:11:03.172Z,,"The LuxCal Web Calendar prior to 5.3.3M (MySQL version) and prior to 5.3.3L (SQLite version) contains an SQL injection vulnerability in retrieve.php. If this vulnerability is exploited, information in a database may be deleted, altered, or retrieved.",LUXSOFT,The LuxCal Web Calendar,prior to 5.3.3L (SQLite version); prior to 5.3.3M (MySQL version),warm
4144,CVE-2025-25223,jpcert,2025-02-18T00:11:36.413Z,,"The LuxCal Web Calendar prior to 5.3.3M (MySQL version) and prior to 5.3.3L (SQLite version) contains a path traversal vulnerability in dloader.php. If this vulnerability is exploited, arbitrary files on a server may be obtained.",LUXSOFT,The LuxCal Web Calendar,prior to 5.3.3L (SQLite version); prior to 5.3.3M (MySQL version),warm
4145,CVE-2025-25224,jpcert,2025-02-18T00:12:21.912Z,,"The LuxCal Web Calendar prior to 5.3.3M (MySQL version) and prior to 5.3.3L (SQLite version) contains a missing authentication vulnerability in dloader.php. If this vulnerability is exploited, arbitrary files on a server may be obtained.",LUXSOFT,The LuxCal Web Calendar,prior to 5.3.3L (SQLite version); prior to 5.3.3M (MySQL version),warm
4146,CVE-2025-25225,Joomla,2025-03-15T18:06:41.769Z,Extension - hikashop.com - Privilege escalation vulnerability Hikashop component version 1.0.0 - 5.1.3 for Joomla,A privilege escalation vulnerability in the Hikashop component versions 1.0.0-5.1.3 for Joomla allows authenticated attackers (administrator) to escalate their privileges to Super Admin Permissions.,HIKASHOP.COM,Hikashop component for Joomla,1.0.0-5.1.3,warm
4147,CVE-2025-25226,Joomla,2025-04-08T16:24:34.710Z,[20250401] - Joomla Framework - SQL injection vulnerability in quoteNameStr method of Database package,"Improper handling of identifiers lead to a SQL injection vulnerability in the quoteNameStr method of the database package. Please note: the affected method is a protected method. It has no usages in the original packages in neither the 2.x nor 3.x branch and therefore the vulnerability in question can not be exploited when using the original database class. However, classes extending the affected class might be affected, if the vulnerable method is used.",JOOMLA!,Joomla! Framework,1.0.0-2.1.1; 3.0.0-3.3.1,hot
4148,CVE-2025-25227,Joomla,2025-04-08T16:24:18.330Z,[20250402] - Joomla Core - MFA Authentication Bypass,Insufficient state checks lead to a vector that allows to bypass 2FA checks.,JOOMLA!,Joomla! CMS,4.0.0-4.4.12; 5.0.0-5.2.5,hot
4149,CVE-2025-25228,Joomla,2025-04-21T07:16:45.498Z,Extension - virtuemart.net - SQL injection in VirtueMart component 1.0.0 - 4.4.7 for Joomla,A SQL injection in VirtueMart component 1.0.0 - 4.4.7 for Joomla allows authenticated attackers (administrator) to execute arbitrary SQL commands in the product management area in backend.,VIRTUEMART.NET,Virtuemart component for Joomla,1.0.0-4.4.8,warm
4150,CVE-2025-25229,Omnissa,2025-08-11T18:24:17.625Z,,"Omnissa Workspace ONE UEM contains a Server-Side Request Forgery (SSRF) Vulnerability. A malicious actor with user privileges may be able to access restricted internal system information, potentially enabling enumeration of internal network resources.",OMNISSA,Omnissa Workspace ONE UEM,Omnissa Workspace ONE UEM version 23.10.0.49 or earlier; Omnissa Workspace ONE UEM version 24.10.0.10 or earlier; Omnissa Workspace ONE UEM version 24.2.0.29 or earlier; Omnissa Workspace ONE UEM version 24.6.0.34 or earlier,warm
4151,CVE-2025-25230,Omnissa,2025-04-16T21:29:50.053Z,,Omnissa Horizon Client for Windows contains an LPE Vulnerability. A malicious actor with local access where Horizon Client for Windows is installed may be able to elevate privileges.,OMNISSA,Omnissa Horizon Client for Windows,Omnissa Horizon Client for Windows 2412 or earlier,warm
4152,CVE-2025-25231,Omnissa,2025-08-11T18:12:49.711Z,,Omnissa Workspace ONE UEM contains a Secondary Context Path Traversal Vulnerability. A malicious actor may be able to gain access to sensitive information by sending crafted GET requests (read-only) to restricted API endpoints.,OMNISSA,Omnissa Workspace ONE UEM,Omnissa Workspace ONE UEM version 23.10.0.49 or earlier; Omnissa Workspace ONE UEM version 24.10.0.10 or earlier; Omnissa Workspace ONE UEM version 24.2.0.29 or earlier; Omnissa Workspace ONE UEM version 24.6.0.34 or earlier,warm
4153,CVE-2025-25234,Omnissa,2025-04-17T14:58:36.397Z,,Omnissa UAG contains a Cross-Origin Resource Sharing (CORS) bypass vulnerability. A malicious actor with network access to UAG may be able to bypass administrator-configured CORS restrictions to gain access to sensitive networks.,OMNISSA,Omnissa Unified Access Gateway (UAG),Omnissa Unified Access Gateway 2412 or earlier,warm
4154,CVE-2025-25235,Omnissa,2025-08-11T21:47:25.510Z,Omnissa Secure Email Gateway (SEG) updates address Server-Side Request Forgery (SSRF) vulnerability,Server-Side Request Forgery (SSRF) in Omnissa Secure Email Gateway (SEG) in SEG prior to 2.32 running on Windows and SEG prior to 2503 running on UAG allows routing of network traffic such as HTTP requests to internal networks.,OMNISSA,Secure Email Gateway,2.32 and later; 2503 and later,warm
4155,CVE-2025-25241,sap,2025-02-11T00:37:53.612Z,Missing Authorization check in SAP Fiori Apps Reference Library (My Overtime Requests),"Due to a missing authorization check, an attacker who is logged in to application can view/ delete ?My Overtime Requests? which could allow the attacker to access employee information. This leads to low impact on confidentiality, integrity of the application. There is no impact on availability.",SAP_SE,SAP Fiori Apps Reference Library (My Overtime Requests),GBX01HR5 605,warm
4156,CVE-2025-25242,sap,2025-03-11T00:32:28.733Z,Cross-Site Scripting (XSS) in SAP NetWeaver Application Server ABAP,"SAP NetWeaver Application Server ABAP allows malicious scripts to be executed in the application, potentially leading to a Cross-Site Scripting (XSS) vulnerability. This has no impact on the availability of the application, but it can have some minor impact on its confidentiality and integrity.",SAP_SE,SAP NetWeaver Application Server ABAP,SAP_BASIS 740; SAP_BASIS 750; SAP_BASIS 751; SAP_BASIS 752; SAP_BASIS 753; SAP_BASIS 754; SAP_BASIS 755; SAP_BASIS 756; SAP_BASIS 757; SAP_BASIS 758; SAP_BASIS 914,warm
4157,CVE-2025-25243,sap,2025-02-11T00:38:02.558Z,Path traversal vulnerability in SAP Supplier Relationship Management (Master Data Management Catalog),SAP Supplier Relationship Management (Master Data Management Catalog) allows an unauthenticated attacker to use a publicly available servlet to download an arbitrary file over the network without any user interaction. This can reveal highly sensitive information with no impact to integrity or availability.,SAP_SE,SAP Supplier Relationship Management (Master Data Management Catalog),SRM_MDM_CAT 7.52,hot
4158,CVE-2025-25244,sap,2025-03-11T00:34:42.757Z,Missing Authorization Check in SAP Business Warehouse (Process Chains),"SAP Business Warehouse (Process Chains) allows an attacker to manipulate the process execution due to missing authorization check. An attacker with display authorization for the process chain object could set one or all processes to be skipped. This means corresponding activities, such as data loading, activation, or deletion, will not be executed as initially modeled. This could lead to unexpected results in business reporting leading to a significant impact on integrity. However, there is no impact on confidentiality or availability.",SAP_SE,SAP Business Warehouse (Process Chains),200; 300; 400; 731; 740; 750; 751; 752; 753; 754; 755; 756; 757; 758; 914; DW4CORE 100; SAP_BW 730,warm
4159,CVE-2025-25245,sap,2025-03-11T00:34:56.115Z,Cross-Site Scripting (XSS) vulnerability in SAP BusinessObjects Business Intelligence Platform (Web Intelligence),"SAP BusinessObjects Business Intelligence Platform (Web Intelligence) contains a deprecated web application endpoint that is not properly secured. An attacker could take advantage of this by injecting a malicious url in the data returned to the user. On successful exploitation, there could be a limited impact on confidentiality and integrity within the scope of victim?s browser. There is no impact on availability.",SAP_SE,SAP BusinessObjects Business Intelligence Platform (Web Intelligence),2025; ENTERPRISE 430,warm
4160,CVE-2025-25246,mitre,2025-02-05T00:00:00.000Z,,"NETGEAR XR1000 before 1.0.0.74, XR1000v2 before 1.1.0.22, and XR500 before 2.3.2.134 allow remote code execution by unauthenticated users.",NETGEAR,XR1000; XR1000v2; XR500,0,hot
4166,CVE-2025-25256,fortinet,2025-08-12T18:59:14.863Z,,"An improper neutralization of special elements used in an OS command ('OS Command Injection') vulnerability [CWE-78] in Fortinet FortiSIEM version 7.3.0 through 7.3.1, 7.2.0 through 7.2.5, 7.1.0 through 7.1.7, 7.0.0 through 7.0.3 and before 6.7.9 allows an unauthenticated attacker to execute unauthorized code or commands via crafted CLI requests.",FORTINET,FortiSIEM,5.4.0; 6.1.0; 6.2.0; 6.3.0; 6.4.0; 6.5.0; 6.6.0; 6.7.0; 7.0.0; 7.1.0; 7.2.0; 7.3.0,hot
4167,CVE-2025-25257,fortinet,2025-07-17T15:10:04.532Z,,"An improper neutralization of special elements used in an SQL command ('SQL Injection') vulnerability [CWE-89] in Fortinet FortiWeb version 7.6.0 through 7.6.3, 7.4.0 through 7.4.7, 7.2.0 through 7.2.10 and below 7.0.10 allows an unauthenticated attacker to execute unauthorized SQL code or commands via crafted HTTP or HTTPs requests.",FORTINET,FortiWeb,7.0.0; 7.2.0; 7.4.0; 7.6.0,hot
4168,CVE-2025-25264,CERTVDE,2025-06-16T09:45:31.613Z,Overly Permissive CORS Policy in WAGO Device Manager,"An unauthenticated remote attacker can take advantage of the current overly permissive CORS policy to gain access and read the responses, potentially exposing sensitive data or enabling further attacks.",WAGO,CC100 0751-9x01; Edge Controller 0752-8303/8000-0002; PFC100 G1 0750-810x/xxxx-xxxx; PFC100 G2 0750-811x-xxxx-xxxx; PFC200 G1 750-820x-xxx-xxx; PFC200 G2 750-821x-xxx-xxx; TP600 0762-420x/8000-000x; TP600 0762-430x/8000-000x; TP600 0762-520x/8000-000x; TP600 0762-530x/8000-000x; TP600 0762-620x/8000-000x; TP600 0762-630x/8000-000x,0.0.0,warm
4169,CVE-2025-25265,CERTVDE,2025-06-16T09:46:13.998Z,Unauthenticated File Read via Web Interface,A web application for configuring the controller is accessible at a specific path. It contains an endpoint that allows an unauthenticated remote attacker to read files from the system’s file structure.,WAGO,CC100 0751-9x01; Edge Controller 0752-8303/8000-0002; PFC100 G1 0750-810x/xxxx-xxxx; PFC100 G2 0750-811x-xxxx-xxxx; PFC200 G1 750-820x-xxx-xxx; PFC200 G2 750-821x-xxx-xxx; TP600 0762-420x/8000-000x; TP600 0762-430x/8000-000x; TP600 0762-520x/8000-000x; TP600 0762-530x/8000-000x; TP600 0762-620x/8000-000x; TP600 0762-630x/8000-000x; WAGO CC100 0751-9x01,0.0.0,warm
4172,CVE-2025-25268,CERTVDE,2025-07-08T07:00:27.103Z,Unauthenticated Configuration Access via Exposed API Endpoint,An unauthenticated adjacent attacker can modify configuration by sending specific requests to an API-endpoint resulting in read and write access due to missing authentication.,PHOENIX CONTACT,CHARX SEC-3000; CHARX SEC-3050; CHARX SEC-3100; CHARX SEC-3150,0.0.0,warm
4173,CVE-2025-25269,CERTVDE,2025-07-08T07:00:42.749Z,Local Privilege Escalation via Unauthenticated Command Injection,"An unauthenticated local attacker can inject a command that is subsequently executed as root, leading to a privilege escalation.",PHOENIX CONTACT,CHARX SEC-3000; CHARX SEC-3050; CHARX SEC-3100; CHARX SEC-3150,0.0.0,warm
4174,CVE-2025-25270,CERTVDE,2025-07-08T07:00:58.478Z,Remote Code Execution via Unauthenticated Configuration Manipulation,An unauthenticated remote attacker can alter the device configuration in a way to get remote code execution as root with specific configurations.,PHOENIX CONTACT,CHARX SEC-3000; CHARX SEC-3050; CHARX SEC-3100; CHARX SEC-3150,0.0.0,hot
4175,CVE-2025-25271,CERTVDE,2025-07-08T07:01:33.274Z,OCPP Backend Configuration via Insecure Defaults,"An unauthenticated adjacent attacker is able to configure a new OCPP backend, due to insecure defaults for the configuration interface.",PHOENIX CONTACT,CHARX SEC-3000; CHARX SEC-3050; CHARX SEC-3100; CHARX SEC-3150,0.0.0,warm
4178,CVE-2025-25276,icscert,2025-04-15T21:25:26.240Z,Growatt Cloud portal Authorization Bypass Through User-Controlled Key,An unauthenticated attacker can hijack other users' devices and potentially control them.,GROWATT,Cloud portal,0,warm
4180,CVE-2025-25279,Mattermost,2025-02-24T07:25:26.792Z,Arbitrary file read in Mattermost Boards via import & export board archive,"Mattermost versions 10.4.x <= 10.4.1, 9.11.x <= 9.11.7, 10.3.x <= 10.3.2, 10.2.x <= 10.2.2 fail to properly validate board blocks when importing boards which allows an attacker could read any arbitrary file on the system via importing and exporting a specially crafted import archive in Boards.",MATTERMOST,Mattermost,10.2.0; 10.2.3; 10.3.0; 10.3.3; 10.4.0; 10.4.2; 10.5.0; 9.11.0; 9.11.8,hot
4181,CVE-2025-25280,jpcert,2025-03-03T08:25:16.938Z,,"Buffer overflow vulnerability exists in FutureNet AS series (Industrial Routers) and FA series (Protocol Conversion Machine) provided by Century Systems Co., Ltd. If this vulnerability is exploited, a remote unauthenticated attacker may reboot the device by sending a specially crafted request.",CENTURY SYSTEMS CO.,FutureNet AS-210/U4; FutureNet AS-250/F-KO; FutureNet AS-250/F-SC; FutureNet AS-250/KL; FutureNet AS-250/KL Rev2; FutureNet AS-250/L; FutureNet AS-250/NL; FutureNet AS-250/S; FutureNet AS-M250/KL; FutureNet AS-M250/L; FutureNet AS-M250/NL; FutureNet AS-P250/KL; FutureNet AS-P250/NL; FutureNet FA-210; FutureNet FA-215,firmware Version 1.0.1 and earlier; firmware Version 1.1.9 and earlier; firmware Version 1.14.0 and earlier; firmware Version 2.6.6 and earlier; firmware Version 3.0.0 and earlier,warm
4182,CVE-2025-25281,icscert,2025-02-13T21:18:56.425Z,Outback Power Mojave Inverter Exposure of Sensitive Information to an Unauthorized Actor,An attacker may modify the URL to discover sensitive information about the target network.,OUTBACK POWER,Mojave Inverter,All versions,hot
4185,CVE-2025-25284,GitHub_M,2025-02-18T18:42:55.190Z,Path Traversal and Local File Read via VRT (Virtual Format) in ZOO-Project WPS Implementation,"The ZOO-Project is an open source processing platform, released under MIT/X11 Licence. A vulnerability in ZOO-Project's WPS (Web Processing Service) implementation allows unauthorized access to files outside the intended directory through path traversal. Specifically, the Gdal_Translate service, when processing VRT (Virtual Format) files, does not properly validate file paths referenced in the VRTRasterBand element, allowing attackers to read arbitrary files on the system. The vulnerability exists because the service doesn't properly sanitize the SourceFilename parameter in VRT files, allowing relative path traversal sequences (../). When combined with VRT's raw data handling capabilities, this allows reading arbitrary files as raw binary data and converting them to TIFF format, effectively exposing their contents. This vulnerability is particularly severe because it allows attackers to read sensitive system files, potentially exposing configuration data, credentials, or other confidential information stored on the server. An unauthenticated attacker can read arbitrary files from the system through path traversal, potentially accessing sensitive information such as configuration files, credentials, or other confidential data stored on the server. The vulnerability requires no authentication and can be exploited remotely through the WPS service. This issue has been addressed in commit `5f155a8` and all users are advised to upgrade. There are no known workarounds for this vulnerability.",ZOO-PROJECT,ZOO-Project,Commits before 5f155a8,warm
